"Title","Date","Description","Subjects","Link"
"Michelangelo painting","2014-03-02","A painting using red and orange created by Lydia in PreK 3","painting","https://lgarland86.github.io/art_by_lydia/item.html?id=coll015"
"Handprint turkey","2014-11-18","A handprint of Lydia using paint to create a turkey for Thanksgiving. Created in PreK 4","animal;handprint","https://lgarland86.github.io/art_by_lydia/item.html?id=coll014"
"Chicken with feathers","2016-04-03","A painting of a chicken with feathers glued on. Created by Lydia in kindergarten at school","animal;painting","https://lgarland86.github.io/art_by_lydia/item.html?id=coll013"
"Bugs on a leaf","2016-04-09","A combination of a watercolor painting of a leaf with clay sculptures of bugs. Created by Lydia in kindergarten at school","painting;sculpture","https://lgarland86.github.io/art_by_lydia/item.html?id=coll011"
"Paper cutout Art","2017-03-13","An art peice created only using contruction paper cutouts. Made by Lydia in 1st grade at school","paper;cutout","https://lgarland86.github.io/art_by_lydia/item.html?id=coll018"
"Spider Abstract","2017-10-09","A painting of a spider using abstract splatter method for web. Created by Lydia in 1st grade at school","painting;abstract;animal","https://lgarland86.github.io/art_by_lydia/item.html?id=coll017"
"Rocket in space","2017-11-14","A combination of coloring a spaceship, using paint, and tissue paper water art. Created by Lydia in 1st grade at school","painting;space","https://lgarland86.github.io/art_by_lydia/item.html?id=coll012"
"Flag","2018-03-23","A drawing and cutout of the ""Don't Tread on Me' flag. Lydia created this in first grade for the Patriot Program","drawing;flag;patriot","https://lgarland86.github.io/art_by_lydia/item.html?id=coll016"
"Fish in ocean","2019-09-30","Watercolor painting of fish in the ocean. Created by Lydia in third grade at school","painting;animal;ocean","https://lgarland86.github.io/art_by_lydia/item.html?id=coll003"
"Cute animal in mountains","2019-10-21","Painting and drawing of cute unidentified animal with cutout orange mountain scene","painting;animal;nature","https://lgarland86.github.io/art_by_lydia/item.html?id=coll006"
"Giraffe drawing","2019-12-01","Drawing of a giraffe in nature using colored pencils. Made by Lydia in third grade.","drawing;animal","https://lgarland86.github.io/art_by_lydia/item.html?id=coll001"
"Abstract colors","2020-07-08","An abstract drawing with various patterns and colors using markers. Created by Lydia at home during covid pandemic","drawing;abstract","https://lgarland86.github.io/art_by_lydia/item.html?id=coll010"
"Boat in sea","2021-02-22","Painting of two boats with reflection in sea. Created by Lydia in 4th grade at school","painting;nature","https://lgarland86.github.io/art_by_lydia/item.html?id=coll005"
"Abstract face","2021-03-18","Abstract painting and cut out paper to create a face of women with opposing emotions. Created by Lydia in 4th grade at school","painting;abstract","https://lgarland86.github.io/art_by_lydia/item.html?id=coll007"
"Moving Book","2021-06-01","An illustration for the title page of a graphic novel. Written and Illustrated by Lydia in 4th grade at school.","drawing;book","https://lgarland86.github.io/art_by_lydia/item.html?id=coll009"
"Octopus","2022-03-02","Painting of octopus in ocean using crayons and watercolor. Created by Lydia in 5th grade at school.","painting;animal;ocean","https://lgarland86.github.io/art_by_lydia/item.html?id=coll008"
"Squirrel eating nut","2022-04-18","Drawing of a squirrel using markers. Created by Lydia for end of year tshirt in 5th grade. Won a nomination","drawing; animal","https://lgarland86.github.io/art_by_lydia/item.html?id=coll004"
"Butterfly","2022-05-15","A butterfly created using variety of materials and cutouts. Created by Lydia in 5th grade at school","cutout;animal","https://lgarland86.github.io/art_by_lydia/item.html?id=coll019"
"Bunny","2022-06-14","A painting of a bunny using paint, drawing, and cutouts glued in place. Created by Lydia in 5th grade at school","animal;painting;abstract;cutout","https://lgarland86.github.io/art_by_lydia/item.html?id=coll020"
"Glow paint","2022-08-12","Painting on canvas with glow in the dark paint. Painted by Lydia on her 11th Birthday.","painting;canvas","https://lgarland86.github.io/art_by_lydia/item.html?id=coll002"
